timestamp,zip_path,output_path,status,input_len,output_len
2025-09-22 03:09:09,physics__7.avgspd.zip,summaries/physics__7.avgspd__summary.tex,ok,4713,546
2025-09-22 03:09:09,physics__7.force.zip,summaries/physics__7.force__summary.tex,ok,3707,653
2025-09-22 03:09:09,physics__7arhimed.zip,summaries/physics__7arhimed__summary.tex,ok,5240,628
2025-09-22 03:09:09,physics__7friction.zip,summaries/physics__7friction__summary.tex,ok,3992,813
2025-09-22 03:09:09,physics__7graphs.zip,summaries/physics__7graphs__summary.tex,ok,5570,838
2025-09-22 03:09:09,physics__7kinblok.zip,summaries/physics__7kinblok__summary.tex,ok,4465,666
2025-09-22 03:09:09,physics__7mgN.zip,summaries/physics__7mgN__summary.tex,ok,4451,670
2025-09-22 03:09:09,physics__7pressure.zip,summaries/physics__7pressure__summary.tex,ok,4543,647
2025-09-22 03:09:09,physics__7rpo.zip,summaries/physics__7rpo__summary.tex,ok,3489,675
2025-09-22 03:09:09,physics__7springs.zip,summaries/physics__7springs__summary.tex,ok,3985,699
2025-09-22 03:09:09,physics__7statblock.zip,summaries/physics__7statblock__summary.tex,ok,3220,552
2025-09-22 03:09:09,physics__7torque.zip,summaries/physics__7torque__summary.tex,ok,3877,672
2025-09-22 03:09:09,physics__7turmech.zip,summaries/physics__7turmech__summary.tex,ok,1728,529
2025-09-22 03:09:09,physics__7work.zip,summaries/physics__7work__summary.tex,ok,4853,854
2025-09-22 03:09:09,physics__8Energy.zip,summaries/physics__8Energy__summary.tex,ok,6039,859
2025-09-22 03:09:09,physics__8MVP.zip,summaries/physics__8MVP__summary.tex,ok,3442,683
2025-09-22 03:09:09,physics__8UI.zip,summaries/physics__8UI__summary.tex,ok,2887,602
2025-09-22 03:09:09,physics__8VAH.zip,summaries/physics__8VAH__summary.tex,ok,4780,1038
2025-09-22 03:09:09,physics__8bridge.zip,summaries/physics__8bridge__summary.tex,ok,3494,843
2025-09-22 03:09:09,physics__8cmt.zip,summaries/physics__8cmt__summary.tex,ok,4925,934
2025-09-22 03:09:09,physics__8equivist.zip,summaries/physics__8equivist__summary.tex,ok,4476,1051
2025-09-22 03:09:09,physics__8equivr.zip,summaries/physics__8equivr__summary.tex,ok,4376,772
2025-09-22 03:09:09,physics__8expand.zip,summaries/physics__8expand__summary.tex,ok,3407,588
2025-09-22 03:09:09,physics__8humid.zip,summaries/physics__8humid__summary.tex,ok,5729,756
2025-09-22 03:09:09,physics__8infinite.zip,summaries/physics__8infinite__summary.tex,ok,3579,812
2025-09-22 03:09:09,physics__8ist.zip,summaries/physics__8ist__summary.tex,ok,3463,645
2025-09-22 03:09:09,physics__8kirchhoff.zip,summaries/physics__8kirchhoff__summary.tex,ok,3756,418
2025-09-22 03:09:09,physics__8kulon.zip,summaries/physics__8kulon__summary.tex,ok,4159,712
2025-09-22 03:09:09,physics__8loss.zip,summaries/physics__8loss__summary.tex,ok,3418,516
2025-09-22 03:09:09,physics__8measure.zip,summaries/physics__8measure__summary.tex,ok,4168,848
2025-09-22 03:09:09,physics__8naprpot.zip,summaries/physics__8naprpot__summary.tex,ok,3731,659
2025-09-22 03:09:09,physics__8om.zip,summaries/physics__8om__summary.tex,ok,5386,625
2025-09-22 03:09:09,physics__8overlap.zip,summaries/physics__8overlap__summary.tex,ok,5107,935
2025-09-22 03:09:09,physics__8rihman.zip,summaries/physics__8rihman__summary.tex,ok,4968,778
2025-09-22 03:09:09,physics__8simm.zip,summaries/physics__8simm__summary.tex,ok,6486,729
2025-09-22 03:09:09,physics__8temperature.zip,summaries/physics__8temperature__summary.tex,ok,3902,607
2025-09-22 03:09:09,physics__8trig.zip,summaries/physics__8trig__summary.tex,ok,4631,746
2025-09-22 03:09:09,physics__8tristar.zip,summaries/physics__8tristar__summary.tex,ok,3621,896
2025-09-22 03:09:09,physics__8turelec.zip,summaries/physics__8turelec__summary.tex,ok,1874,578
2025-09-22 03:09:09,physics__8turterm.zip,summaries/physics__8turterm__summary.tex,ok,1788,678
2025-09-22 03:09:09,physics__8utb.zip,summaries/physics__8utb__summary.tex,ok,3149,618
2025-09-22 03:09:09,physics__9alpha.zip,summaries/physics__9alpha__summary.tex,ok,3408,811
2025-09-22 03:09:09,physics__9ballvec.zip,summaries/physics__9ballvec__summary.tex,ok,4821,761
2025-09-22 03:09:09,physics__9bernulli.zip,summaries/physics__9bernulli__summary.tex,ok,3373,513
2025-09-22 03:09:09,physics__9centripetal.zip,summaries/physics__9centripetal__summary.tex,ok,3543,542
2025-09-22 03:09:09,physics__9coord.zip,summaries/physics__9coord__summary.tex,ok,4526,848
2025-09-22 03:09:09,physics__9derivative.zip,summaries/physics__9derivative__summary.tex,ok,7103,1254
2025-09-22 03:09:09,physics__9friction.zip,summaries/physics__9friction__summary.tex,ok,5139,670
2025-09-22 03:09:09,physics__9grav.zip,summaries/physics__9grav__summary.tex,ok,5314,666
2025-09-22 03:09:09,physics__9integral.zip,summaries/physics__9integral__summary.tex,ok,4175,1064
2025-09-22 03:09:09,physics__9koenig.zip,summaries/physics__9koenig__summary.tex,ok,3044,569
2025-09-22 03:09:09,physics__9mcv.zip,summaries/physics__9mcv__summary.tex,ok,4739,1008
2025-09-22 03:09:09,physics__9momentum.zip,summaries/physics__9momentum__summary.tex,ok,4089,702
2025-09-22 03:09:09,physics__9mu.zip,summaries/physics__9mu__summary.tex,ok,3303,523
2025-09-22 03:09:09,physics__9newton.zip,summaries/physics__9newton__summary.tex,ok,5688,806
2025-09-22 03:09:09,physics__9noninert.zip,summaries/physics__9noninert__summary.tex,ok,3705,993
2025-09-22 03:09:09,physics__9omega.zip,summaries/physics__9omega__summary.tex,ok,5588,812
2025-09-22 03:09:09,physics__9omegaso.zip,summaries/physics__9omegaso__summary.tex,ok,5334,1200
2025-09-22 03:09:09,physics__9palka.zip,summaries/physics__9palka__summary.tex,ok,4998,852
2025-09-22 03:09:09,physics__9rud.zip,summaries/physics__9rud__summary.tex,ok,4396,947
2025-09-22 03:09:09,physics__9sound.zip,summaries/physics__9sound__summary.tex,ok,3812,472
2025-09-22 03:09:09,physics__9stokes.zip,summaries/physics__9stokes__summary.tex,ok,4761,924
2025-09-22 03:09:09,physics__9trig.zip,summaries/physics__9trig__summary.tex,ok,7394,1051
2025-09-22 03:09:09,physics__9turbal.zip,summaries/physics__9turbal__summary.tex,ok,1874,511
2025-09-22 03:09:09,physics__9turdin.zip,summaries/physics__9turdin__summary.tex,ok,1874,475
2025-09-22 03:09:09,physics__9turtverd.zip,summaries/physics__9turtverd__summary.tex,ok,1874,581
2025-09-22 03:09:09,physics__9turzs.zip,summaries/physics__9turzs__summary.tex,ok,1874,554
2025-09-22 03:09:09,physics__9udar.zip,summaries/physics__9udar__summary.tex,ok,5765,991
2025-09-22 03:09:09,physics__9vector.zip,summaries/physics__9vector__summary.tex,ok,5942,1035
2025-09-22 03:09:09,physics__9wall.zip,summaries/physics__9wall__summary.tex,ok,4335,800
2025-09-22 03:09:09,physics__mass.zip,summaries/physics__mass__summary.tex,ok,4619,825
2025-09-22 03:09:09,physics__onboarding.zip,summaries/physics__onboarding__summary.tex,ok,1874,581
